market,Supply_Growth_5yr,UPP_Change_5yr,Pop_Growth_5yr,Absorption_Pressure,Quadrant,Empirical_Rank_5yr
Akron - OH,0.013485858214829172,0.0011428851874601895,-0.007286122797264261,-0.020771981012093432,Q2_LowSupply_TightPerCap,123.0
Albany - NY,0.043785095085415726,0.002420112487123899,0.006613272503613432,-0.037171822581802294,Q3_LowSupply_Stagnant,62.0
Albuquerque - NM,0.058321227367749806,0.0029053095912050797,0.010121833198105445,-0.04819939416964436,Q4_HighSupply_Oversupply,107.0
Anchorage - AK,0.0015301048121796335,-0.0007815615889864846,0.02630542144931347,0.024775316637133837,Q2_LowSupply_TightPerCap,116.0
Asheville - NC,0.17916048520813344,0.006490008170352626,0.03582781370977095,-0.14333267149836248,Q4_HighSupply_Oversupply,100.0
Atlanta - GA,0.06432334699261211,0.001058377474027511,0.05106348522767523,-0.013259861764936876,Q1_HighSupply_TightPerCap,148.0
Augusta - GA,0.04519181910569103,0.0011030004000594368,0.02253357534342526,-0.022658243762265773,Q2_LowSupply_TightPerCap,57.0
Austin - TX,0.12845705297179055,0.004243534637114854,0.0920504268260014,-0.036406626145789156,Q4_HighSupply_Oversupply,16.0
Bakersfield - CA,0.02383498854087085,-2.263609669160213e-05,0.024644770582204822,0.0008097820413339729,Q2_LowSupply_TightPerCap,27.0
Baltimore - MD,0.041498032080796055,0.002158417883082228,0.012590984602362854,-0.0289070474784332,Q2_LowSupply_TightPerCap,72.0
Baton Rouge - LA,0.041910112359550666,0.0015472353503118916,0.011683687633861517,-0.03022642472568915,Q2_LowSupply_TightPerCap,108.0
Beaumont - TX,0.00670456983479939,0.001025640558426126,-0.015493293226221727,-0.022197863061021117,Q2_LowSupply_TightPerCap,91.0
Birmingham - AL,0.051397131184206524,0.0017453005297708851,0.019583950518435422,-0.0318131806657711,Q2_LowSupply_TightPerCap,101.0
Boise - ID,0.10186554030271022,0.0016846334762563933,0.06580394266203982,-0.036061597640670406,Q1_HighSupply_TightPerCap,70.0
Boston - MA,0.10721739856403412,0.00511924876111268,0.016790977905511983,-0.09042642065852213,Q4_HighSupply_Oversupply,147.0
Brownsville-Harlingen - TX,0.009405533741210892,0.00018207393177209139,0.002301396855160842,-0.00710413688605005,Q2_LowSupply_TightPerCap,48.0
Buffalo - NY,0.06368710429856717,0.0027461329147080923,-0.001962378329500414,-0.06564948262806758,Q4_HighSupply_Oversupply,58.0
Canton - OH,0.0011440774921820385,0.0004067140055271784,-0.011075481130266573,-0.012219558622448612,Q2_LowSupply_TightPerCap,113.0
Charleston - SC,0.08336516047464149,0.00258163952653441,0.05237884981843388,-0.030986310656207605,Q4_HighSupply_Oversupply,45.0
Charlotte - NC,0.16441005000103726,0.007792249102162377,0.06589011562560021,-0.09851993437543705,Q4_HighSupply_Oversupply,145.0
Chattanooga - TN,0.07223833377273925,0.002436423526432245,0.024169418484948135,-0.048068915287791114,Q4_HighSupply_Oversupply,33.0
Chicago - IL,0.055563572634445,0.00438666440996939,-0.015180694775155712,-0.07074426740960071,Q3_LowSupply_Stagnant,67.0
Cincinnati - OH,0.07177184166929096,0.003684184776330271,0.013623443912711863,-0.058148397756579095,Q4_HighSupply_Oversupply,82.0
Cleveland - OH,0.033696952125539026,0.0030289461974086773,-0.01106337083535014,-0.044760322960889165,Q3_LowSupply_Stagnant,60.0
Colorado Springs - CO,0.1061722302513306,0.0040278357152403604,0.04792956909833168,-0.05824266115299892,Q4_HighSupply_Oversupply,83.0
Columbia - SC,0.072406523372186,0.0019258686391334379,0.03080467831303957,-0.041601845059146436,Q1_HighSupply_TightPerCap,53.0
Columbus - OH,0.0931143987136247,0.004701020664209368,0.044166031471256195,-0.04894836724236851,Q4_HighSupply_Oversupply,65.0
Corpus Christi - TX,0.0382736400419601,0.002531352995162023,0.003884922250684486,-0.034388717791275614,Q3_LowSupply_Stagnant,131.0
Dallas-Fort Worth - TX,0.09222181533863161,0.002595871863420779,0.06674016167707242,-0.02548165366155919,Q4_HighSupply_Oversupply,79.0
Dayton - OH,0.03355256886855407,0.00235984208588072,-0.0029863388271614832,-0.03653890769571555,Q3_LowSupply_Stagnant,114.0
Daytona Beach - FL,0.16263589228968045,0.004336911604929994,0.05143002387909479,-0.11120586841058566,Q4_HighSupply_Oversupply,94.0
Denver - CO,0.09806961044219897,0.0055336380214557335,0.04227879555339409,-0.055790814888804885,Q4_HighSupply_Oversupply,121.0
Des Moines - IA,0.08304293510421457,0.0025730949372651662,0.05140896901875136,-0.031633966085463205,Q4_HighSupply_Oversupply,142.0
Detroit - MI,0.030532650832066244,0.001434783544427734,0.0036190050131159612,-0.026913645818950283,Q2_LowSupply_TightPerCap,69.0
Durham - NC,0.19322573663543885,0.01538583243468547,0.03926176045596863,-0.15396397617947022,Q4_HighSupply_Oversupply,95.0
East Bay - CA,0.034784899850692996,0.0009045177047156683,0.02133003017958779,-0.013454869671105207,Q2_LowSupply_TightPerCap,125.0
El Paso - TX,0.034811785676837514,0.0007127752359469136,0.02134473858170316,-0.013467047095134355,Q2_LowSupply_TightPerCap,86.0
Fayetteville - NC,0.05092846509441351,0.0022635915724799893,0.015392381368655172,-0.03553608372575834,Q3_LowSupply_Stagnant,32.0
Flint - MI,0.015094151638936015,0.001881840628054271,-0.021393933922622677,-0.03648808556155869,Q2_LowSupply_TightPerCap,118.0
Fort Lauderdale - FL,0.112187487071997,0.0071334831070056365,0.01275568224514445,-0.09943180482685254,Q4_HighSupply_Oversupply,35.0
Fort Myers - FL,0.271674110163757,0.008433503113764597,0.06650231071329094,-0.20517179945046604,Q4_HighSupply_Oversupply,98.0
Fort Wayne - IN,0.06484442018248471,0.0030555962765264483,0.009381902979651136,-0.05546251720283357,Q4_HighSupply_Oversupply,130.0
Fresno - CA,0.011649046013731734,-0.0009156541039594679,0.028608759747974055,0.01695971373424232,Q2_LowSupply_TightPerCap,14.0
Grand Rapids - MI,0.07683108568064312,0.0019758424697076463,0.0349226355269725,-0.04190845015367062,Q1_HighSupply_TightPerCap,115.0
Greensboro - NC,0.06964211689926758,0.0034219454796395182,0.014942034871902488,-0.05470008202736509,Q4_HighSupply_Oversupply,51.0
Greenville - SC,0.07243111802463842,0.0018627298559911465,0.0382531608573784,-0.03417795716726002,Q1_HighSupply_TightPerCap,42.0
Gulfport-Biloxi-Pascagoula - MS,0.011245358020816942,0.0005610416297364487,-0.0006287117999310698,-0.011874069820748012,Q2_LowSupply_TightPerCap,21.0
Harrisburg - PA,0.04748855697422316,0.0017397017432541143,0.015076753233475904,-0.03241180374074726,Q2_LowSupply_TightPerCap,59.0
Hartford - CT,0.05424485270382173,0.003584379908885854,-0.0062841866277068,-0.060529039331528534,Q3_LowSupply_Stagnant,111.0
Honolulu - HI,0.015125943381205653,0.00047599713776054486,0.00012034695788010197,-0.015005596423325551,Q2_LowSupply_TightPerCap,133.0
Houston - TX,0.0593707127213019,-0.0006401833531217704,0.06652709582975036,0.007156383108448461,Q1_HighSupply_TightPerCap,128.0
Huntsville - AL,0.14775525279054502,0.008839284430795888,0.04571006602793548,-0.10204518676260954,Q4_HighSupply_Oversupply,112.0
Indianapolis - IN,0.05324062209921476,0.0020456017488661576,0.02700820475866883,-0.026232417340545933,Q2_LowSupply_TightPerCap,68.0
Inland Empire - CA,0.04367202911839074,-7.887919022735862e-05,0.04584323827753933,0.0021712091591485905,Q2_LowSupply_TightPerCap,3.0
Jackson - MS,0.011222843806843574,0.0003473951131649222,0.0044208291299363545,-0.00680201467690722,Q2_LowSupply_TightPerCap,84.0
Jacksonville - FL,0.10480119440515479,0.0031729599301813655,0.058479245633455745,-0.04632194877169904,Q4_HighSupply_Oversupply,71.0
Kansas City - MO,0.10631018753167765,0.00661084478049892,0.022553469058177233,-0.08375671847350041,Q4_HighSupply_Oversupply,137.0
Killeen - TX,0.048365388789996855,0.00025000064851261883,0.04260170866270685,-0.005763680127290005,Q2_LowSupply_TightPerCap,129.0
Knoxville - TN,0.09245437680659219,0.0030795558836306525,0.02772343890324147,-0.06473093790335072,Q4_HighSupply_Oversupply,41.0
Lafayette - LA,0.0696792827486612,0.0024910369176187608,-0.0018760581126527898,-0.07155534086131399,Q4_HighSupply_Oversupply,92.0
Lakeland - FL,0.2183928518419569,0.004929419658535855,0.08411095228109766,-0.13428189956085923,Q4_HighSupply_Oversupply,97.0
Lancaster - PA,0.0969929092697066,0.002554901786600193,0.021054706699516812,-0.0759382025701898,Q4_HighSupply_Oversupply,29.0
Lansing - MI,0.0115669047468554,7.413267042499783e-05,0.01044322683753407,-0.00112367790932133,Q2_LowSupply_TightPerCap,103.0
Las Vegas - NV,0.0458890619038288,-0.0005504471448977144,0.05301189552613916,0.007122833622310365,Q2_LowSupply_TightPerCap,74.0
Lehigh Valley - PA,0.07475171278347226,0.002740230495597379,0.010429403453468211,-0.06432230933000405,Q4_HighSupply_Oversupply,52.0
Lexington - KY,0.016621889672834955,-0.0007649862527721735,0.02708930526605946,0.010467415593224505,Q2_LowSupply_TightPerCap,7.0
Little Rock - AR,0.013671731630330974,-0.0007196203693412145,0.02408884626276242,0.010417114632431446,Q2_LowSupply_TightPerCap,73.0
